Date,Time,Store,Category,Price,Payment
2008-11-05,03:38,Kansas City,Garden,302.69,MasterCard
2008-08-06,19:54,Atlanta,Toys,254.62,Discover
2006-07-04,11:00,Boise,Baby,130.54,Discover
2013-08-19,00:36,New York,Consumer Electronics,153.84,Amex
2005-01-23,19:56,Riverside,Toys,2.0,Cash
2009-05-26,22:44,San Bernardino,Women's Clothing,100.38,Discover
2014-09-02,08:24,Wichita,Men's Clothing,460.38,MasterCard
2013-04-09,12:48,Santa Ana,Video Games,107.94,Visa
2011-07-01,09:48,New Orleans,Books,157.08,Discover
2008-04-10,18:29,Fremont,Men's Clothing,243.05,Discover
2020-02-18,00:51,Pittsburgh,Music,46.99,Discover
2012-02-16,09:24,Memphis,Toys,9.47,MasterCard
2009-02-05,19:13,Chicago,Garden,16.15,Visa
2010-06-03,04:01,Virginia Beach,Cameras,271.56,Discover
2016-06-19,02:58,Omaha,Children's Clothing,387.75,Visa
2019-02-03,18:26,Tucson,Health and Beauty,367.76,Visa
2012-04-01,15:32,Nashville,Men's Clothing,297.43,Amex
2017-03-02,16:04,Washington,Books,392.81,Discover
2004-11-12,03:23,Greensboro,Garden,11.96,MasterCard
2000-11-01,23:20,Tulsa,Crafts,20.07,Discover
2012-03-09,04:45,Cincinnati,DVDs,299.55,Visa
2004-08-05,13:49,Charlotte,DVDs,440.11,Visa
2002-01-09,12:14,Austin,Crafts,127.8,Discover
2017-08-14,03:39,Anchorage,DVDs,390.2,Visa
2006-02-06,09:00,Albuquerque,Pet Supplies,440.7,Cash
2014-11-23,15:41,Santa Ana,Video Games,294.98,Cash
2020-08-08,15:50,Milwaukee,Men's Clothing,418.91,Discover
2002-05-26,04:40,Jacksonville,Computers,359.65,MasterCard
2010-05-11,10:58,Phoenix,Sporting Goods,371.21,Visa
2013-04-09,10:14,Anchorage,Health and Beauty,368.42,MasterCard
2012-11-25,13:52,Norfolk,Consumer Electronics,480.24,Cash
2014-07-04,20:30,San Antonio,CDs,125.35,Amex
2002-04-28,04:54,New Orleans,DVDs,242.31,Discover
2006-12-26,17:30,Riverside,Computers,278.61,Discover
2002-03-24,18:51,St. Petersburg,CDs,152.9,Discover
2017-10-14,01:16,Lubbock,Sporting Goods,452.07,Visa
2010-07-17,04:56,Toledo,Baby,59.08,Cash
2013-01-16,20:47,Oakland,Garden,155.33,Visa
2007-09-21,11:19,Philadelphia,Pet Supplies,332.48,Amex
2002-10-16,08:29,Scottsdale,Children's Clothing,419.06,Discover
2004-06-24,04:21,Chandler,Women's Clothing,423.12,Cash
2017-10-22,17:21,San Diego,Consumer Electronics,25.74,MasterCard
2008-11-02,02:24,Anaheim,Baby,66.07,Visa
2013-11-10,22:12,Lincoln,Books,482.94,Discover
2020-09-25,23:32,Jersey City,Music,11.29,Cash
2017-02-12,22:55,Santa Ana,Crafts,215.22,Discover
2016-11-27,05:23,Philadelphia,Women's Clothing,482.97,MasterCard
2000-02-15,10:55,Minneapolis,Books,322.37,Cash
2003-01-23,15:25,El Paso,Sporting Goods,103.01,Visa
2010-08-14,08:48,Boston,Video Games,366.56,Cash
2004-12-16,14:02,Washington,Toys,257.67,MasterCard
2018-10-18,12:44,Austin,Health and Beauty,483.1,Visa
2007-07-12,21:37,Tampa,Crafts,437.19,Discover
2013-03-10,02:49,Boston,Children's Clothing,31.79,Amex
2009-09-26,12:14,Cleveland,Men's Clothing,427.43,Amex
2006-03-11,07:17,Arlington,Video Games,400.08,MasterCard
2016-04-03,02:36,Fresno,Crafts,461.48,Cash
2020-03-22,06:23,Kansas City,Books,133.57,Cash
2004-04-01,21:33,Phoenix,Crafts,489.8,Visa
2016-06-17,02:15,Riverside,Pet Supplies,84.4,Cash
2005-10-22,08:16,Columbus,Health and Beauty,392.5,Visa
2010-11-18,20:06,Cincinnati,Books,23.83,Amex
2013-11-05,17:08,Houston,Music,461.11,Discover
2014-10-04,18:34,Kansas City,Women's Clothing,293.16,Cash
2019-04-03,00:57,Fort Worth,Crafts,360.34,Visa
2012-07-20,03:49,Raleigh,Men's Clothing,314.1,MasterCard
2014-07-05,06:50,Lubbock,Garden,366.13,Discover
2006-07-24,15:42,Seattle,Men's Clothing,481.32,Discover
2002-08-15,00:04,Greensboro,Cameras,306.01,Visa
2012-09-23,20:18,Detroit,Crafts,134.89,Amex
2019-03-08,02:09,Rochester,Video Games,75.73,Visa
2008-02-08,04:17,Jersey City,Toys,339.77,Amex
2014-03-08,02:20,Omaha,Health and Beauty,333.15,MasterCard
2008-08-28,01:47,Jacksonville,Consumer Electronics,345.1,Amex
2019-10-01,14:34,Nashville,CDs,467.62,Amex
2019-06-19,14:36,Omaha,DVDs,164.38,Cash
2018-08-06,03:13,Dallas,Books,273.49,Amex
2018-11-21,17:52,Long Beach,CDs,98.23,Amex
2009-09-03,21:47,Scottsdale,Music,461.2,Amex
2016-09-10,09:47,Lexington,Consumer Electronics,446.19,Discover
2016-09-22,15:39,Honolulu,Children's Clothing,39.82,Discover
2019-03-19,19:34,Pittsburgh,DVDs,255.59,Visa
2017-09-13,13:47,Memphis,Health and Beauty,47.38,Amex
2020-02-19,20:12,Memphis,Video Games,58.66,Visa
2017-03-04,13:00,Kansas City,Music,364.24,Amex
2013-01-19,14:16,Lexington,Baby,274.99,Discover
2011-08-27,12:52,Toledo,Baby,350.97,MasterCard
2000-07-16,14:43,Jersey City,Children's Clothing,114.9,Visa
2003-11-11,15:48,Denver,Women's Clothing,173.72,Visa
2014-04-10,00:09,Houston,Music,331.68,MasterCard
2017-09-08,09:27,Mesa,Children's Clothing,314.05,MasterCard
2005-08-20,01:47,Madison,Computers,160.9,Visa
2015-10-01,15:11,Santa Ana,Pet Supplies,304.16,Amex
2002-02-26,01:17,Gilbert,Toys,74.71,Visa
2020-01-23,03:52,Jacksonville,Men's Clothing,203.43,Visa
2005-11-02,03:40,Gilbert,CDs,299.3,Discover
2009-04-21,20:22,Seattle,CDs,453.07,Amex
2006-12-22,18:49,Reno,Computers,62.14,Visa
2017-10-14,00:49,Saint Paul,Pet Supplies,138.93,Visa
2010-09-14,08:39,Bakersfield,Children's Clothing,217.79,Discover
2017-09-10,10:14,Chesapeake,Health and Beauty,343.04,Amex
2006-11-01,05:16,Glendale,Books,220.63,MasterCard
2012-01-20,20:53,Durham,Computers,422.56,MasterCard
2007-07-20,14:12,New Orleans,Pet Supplies,382.41,Cash
2009-09-10,12:25,Honolulu,Garden,332.58,Cash
2009-02-27,05:24,Chandler,Books,467.48,MasterCard
2020-11-22,05:25,Boston,Video Games,208.69,MasterCard
2018-01-25,12:05,Baltimore,Crafts,7.98,Discover
2010-06-26,13:11,Denver,Consumer Electronics,239.49,Discover
2010-10-20,21:41,Lubbock,DVDs,390.35,MasterCard
2011-04-15,14:21,San Diego,Children's Clothing,357.1,Cash
2018-09-12,01:56,North Las Vegas,Toys,409.26,Cash
2013-07-28,04:56,Lincoln,Children's Clothing,92.93,MasterCard
2013-04-21,17:45,Miami,Children's Clothing,191.28,MasterCard
2002-07-17,19:07,Phoenix,Music,94.3,Visa
2003-11-28,23:28,Miami,Crafts,140.47,Amex
2005-12-27,14:01,Irvine,Computers,208.16,MasterCard
2006-05-24,17:55,Madison,Crafts,337.8,Visa
2006-05-06,17:30,Los Angeles,Toys,37.77,Visa
2017-01-01,03:07,Fresno,Sporting Goods,60.92,Visa
2016-03-16,16:09,Tulsa,Women's Clothing,206.82,Discover
2020-10-13,02:48,Jacksonville,Video Games,422.0,Amex
2019-11-03,20:00,Albuquerque,Pet Supplies,484.24,Discover
2015-03-15,01:34,Memphis,Toys,449.7,Amex
2004-04-10,20:27,Chicago,Sporting Goods,98.92,MasterCard
2014-01-09,18:58,New Orleans,Men's Clothing,336.28,Visa
2017-10-20,02:01,Anaheim,Sporting Goods,48.34,MasterCard
2008-03-08,09:27,Orlando,Baby,160.07,Cash
2019-06-09,17:03,Oakland,Women's Clothing,346.66,Visa
2008-12-13,04:43,Fort Worth,Cameras,400.35,Visa
2007-01-16,23:19,Winston–Salem,Toys,361.66,Visa
2013-07-27,05:21,Boston,Toys,88.56,Discover
2009-12-18,13:36,St. Petersburg,Crafts,34.54,Discover
2000-12-23,05:15,Toledo,Video Games,195.18,Discover
2003-12-26,10:53,Lubbock,Women's Clothing,308.53,Cash
2006-05-14,02:06,Albuquerque,Crafts,149.94,Cash
2020-12-02,19:06,Mesa,Garden,70.75,MasterCard
2000-02-18,05:21,Omaha,Consumer Electronics,435.3,Visa
2006-12-07,05:50,Chesapeake,Garden,333.31,MasterCard
2005-05-24,01:22,Louisville,Sporting Goods,111.32,Discover
2008-06-02,04:16,San Francisco,CDs,442.79,Cash
2011-03-11,00:33,Jersey City,Garden,329.03,MasterCard
2019-10-03,16:27,Irving,Books,163.57,Cash
2017-08-16,09:10,Lexington,CDs,4.4,Visa
2016-01-17,01:43,Cleveland,Health and Beauty,105.56,Amex
2003-02-06,12:40,Hialeah,Women's Clothing,176.98,Visa
2000-03-16,00:18,Dallas,Pet Supplies,481.52,Cash
2020-10-28,04:41,Toledo,CDs,495.81,Cash
2008-10-16,02:15,San Jose,Toys,337.71,Cash
2015-04-21,05:32,Milwaukee,Sporting Goods,487.86,Visa
2005-04-21,09:39,Kansas City,Pet Supplies,129.79,MasterCard
2016-07-08,18:42,New York,Baby,326.88,Discover
2020-10-16,18:18,Las Vegas,CDs,152.94,Visa
2018-02-05,12:43,Spokane,Crafts,230.81,Visa
2014-09-22,08:50,Raleigh,Crafts,443.46,MasterCard
2012-06-23,02:17,Houston,Children's Clothing,183.38,Discover
2006-11-12,02:18,Winston–Salem,Music,411.46,Cash
2000-06-14,02:12,Tucson,Children's Clothing,247.4,Amex
2005-08-27,08:09,Baltimore,DVDs,269.7,Visa
2005-11-20,03:16,Lubbock,Women's Clothing,102.79,Discover
2018-06-09,18:03,Plano,Men's Clothing,181.96,MasterCard
2005-04-25,22:59,Norfolk,Books,274.88,MasterCard
2017-02-04,19:56,Charlotte,Health and Beauty,318.25,Amex
2020-08-23,15:48,New York,Women's Clothing,257.19,Amex
2020-12-23,10:34,Reno,DVDs,49.61,MasterCard
2003-12-12,00:29,Tampa,Music,286.88,Amex
2018-08-18,12:40,Boston,Men's Clothing,282.6,Visa
2017-12-07,17:55,Philadelphia,Baby,259.14,Visa
2018-11-26,06:19,Lincoln,Women's Clothing,235.9,Cash
2001-01-24,07:16,Jacksonville,Pet Supplies,325.19,Cash
2013-07-13,22:32,San Francisco,Books,411.08,MasterCard
2015-10-08,01:01,Toledo,Music,173.44,Discover
2015-02-21,02:09,Corpus Christi,Health and Beauty,293.04,Cash
2011-07-10,04:15,Honolulu,Pet Supplies,255.96,Cash
2018-01-06,19:37,Lubbock,Garden,496.04,MasterCard
2001-06-27,20:43,Scottsdale,Consumer Electronics,423.52,MasterCard
2004-03-19,10:27,Louisville,CDs,255.28,Cash
2003-08-20,19:24,Durham,Crafts,296.45,Amex
2006-03-19,11:01,Lexington,DVDs,87.86,Visa
2011-06-12,23:14,Minneapolis,Computers,106.08,Visa
2017-04-13,19:08,El Paso,Pet Supplies,26.72,MasterCard
2004-06-11,19:22,Long Beach,Pet Supplies,42.48,Discover
2014-11-26,17:22,Charlotte,CDs,137.64,Visa
2007-01-07,05:18,Winston–Salem,DVDs,102.39,Cash
2012-12-05,15:20,Anaheim,Garden,447.8,Discover
2009-02-02,12:30,Oakland,DVDs,160.96,MasterCard
2013-09-07,17:55,Dallas,Computers,57.3,Amex
2009-10-22,06:16,Santa Ana,Men's Clothing,428.78,Discover
2011-02-21,21:04,Memphis,Garden,157.59,Cash
2009-11-23,14:57,Charlotte,Children's Clothing,408.1,Cash
2019-07-19,10:23,Nashville,Pet Supplies,405.18,Cash
2016-03-16,07:15,Oakland,Men's Clothing,347.48,Amex
2014-09-24,19:23,Baltimore,Cameras,467.63,Amex
2012-05-13,23:53,Columbus,Children's Clothing,142.24,MasterCard
2002-10-06,20:16,St. Petersburg,Video Games,89.34,Visa
2010-11-03,16:05,Seattle,Crafts,375.07,Discover
2004-06-27,03:28,San Bernardino,Video Games,398.46,Amex
2015-01-17,07:15,Wichita,Garden,296.63,MasterCard
2005-08-13,04:41,Mesa,Video Games,27.56,Discover
2014-07-06,03:40,Anaheim,CDs,341.43,Amex
2003-12-14,11:55,Seattle,Crafts,162.97,Cash
2017-09-09,16:31,Baltimore,Crafts,308.4,Visa
2008-02-15,23:09,Washington,Books,64.95,Cash
2018-04-25,02:11,Denver,Computers,189.88,Amex
2000-07-24,07:25,Tulsa,CDs,336.92,Discover
2014-08-15,13:34,San Antonio,Consumer Electronics,336.38,MasterCard
2016-05-26,02:05,Oklahoma City,Music,162.52,Discover
2017-02-18,10:24,Garland,Women's Clothing,0.71,MasterCard
2005-03-05,15:33,Houston,DVDs,450.71,Discover
2008-01-12,18:07,Seattle,DVDs,353.58,MasterCard
2001-04-06,06:49,Rochester,Sporting Goods,363.83,Amex
2020-04-21,01:20,Tampa,Video Games,33.89,MasterCard
2004-06-24,23:28,Lexington,Cameras,150.73,Discover
2003-05-03,12:46,Fremont,Pet Supplies,17.12,Cash
2015-12-03,01:54,Arlington,Computers,25.46,Visa
2000-08-23,05:34,Mesa,Toys,11.54,Cash
2010-11-16,18:52,Anaheim,Sporting Goods,274.68,MasterCard
2013-02-19,16:12,Irving,Children's Clothing,331.38,Discover
2009-04-14,07:06,Baton Rouge,Computers,347.62,Amex
2003-12-09,04:47,Bakersfield,Computers,368.94,Visa
2004-12-20,02:56,Toledo,Men's Clothing,397.95,Discover
2004-03-17,03:31,Chula Vista,Garden,11.25,MasterCard
2009-01-19,12:09,North Las Vegas,DVDs,366.12,Visa
2011-01-06,04:30,Mesa,Baby,270.85,MasterCard
2010-10-02,17:00,Nashville,Books,178.48,Visa
2009-03-09,09:05,Jersey City,Garden,46.07,Cash
2019-12-07,05:13,Virginia Beach,Garden,208.7,Cash
2011-05-09,01:23,Oklahoma City,Health and Beauty,495.4,Visa
2008-07-18,02:46,Birmingham,Cameras,331.7,Visa
2001-11-07,20:17,Atlanta,Women's Clothing,292.35,Visa
2017-03-10,01:16,New York,Consumer Electronics,301.4,MasterCard
2008-04-05,14:08,Glendale,Pet Supplies,199.67,Amex
2007-11-19,01:23,Greensboro,Women's Clothing,11.22,Amex
2014-04-01,13:29,Nashville,Crafts,48.45,Discover
2012-01-02,17:07,Tampa,Music,237.29,MasterCard
2014-04-10,13:47,Lubbock,Video Games,322.19,Visa
2010-06-10,23:04,Rochester,Garden,297.72,Cash
2005-03-07,05:34,San Diego,Baby,188.46,Visa
2019-02-20,22:25,Nashville,Men's Clothing,457.96,Amex
2014-02-02,13:20,Washington,Music,340.32,MasterCard
2018-11-07,06:39,Baltimore,CDs,221.79,Amex
2017-09-12,06:44,Riverside,Sporting Goods,187.28,MasterCard
2009-06-10,22:25,Corpus Christi,Music,297.13,Amex
2004-01-20,12:06,Irvine,DVDs,415.36,Amex
2017-03-26,04:43,Baltimore,Crafts,191.65,Discover
2010-10-14,12:55,El Paso,Health and Beauty,460.68,Cash
2002-06-27,06:25,Corpus Christi,Video Games,485.96,Cash
2014-02-06,15:48,Nashville,Cameras,59.72,Discover
2010-12-06,11:17,Spokane,Cameras,343.49,Amex
2015-03-12,01:31,Kansas City,Baby,39.26,Visa
2018-05-12,08:24,Houston,DVDs,25.59,Cash
2011-04-23,04:42,Long Beach,Pet Supplies,106.57,Discover
2012-01-05,08:05,Birmingham,Men's Clothing,407.53,MasterCard
2000-06-15,09:19,Cincinnati,Crafts,216.99,Visa
2013-06-11,03:05,Portland,Garden,25.72,Visa
2017-11-26,22:32,Greensboro,Consumer Electronics,438.7,Visa
2001-05-20,18:30,St. Louis,Women's Clothing,298.76,Cash
2000-08-23,09:03,Jersey City,Computers,169.4,MasterCard
2000-06-04,14:55,Columbus,Garden,403.7,MasterCard
2011-05-08,02:00,Honolulu,Music,164.92,Amex
2010-02-21,07:33,North Las Vegas,Video Games,393.76,Amex
2015-09-23,16:40,Scottsdale,Men's Clothing,30.36,Visa
2012-06-17,09:20,Winston–Salem,Women's Clothing,380.75,Discover
2002-02-06,00:11,San Bernardino,Sporting Goods,243.99,Discover
2001-11-22,19:55,Albuquerque,Health and Beauty,192.48,Amex
2006-02-25,20:11,Richmond,Women's Clothing,397.36,Discover
2019-01-21,21:23,Anaheim,Music,456.53,Amex
2012-01-06,16:10,Irving,Video Games,111.36,Discover
2007-06-22,09:33,Columbus,Women's Clothing,197.37,Visa
2006-03-13,09:01,Colorado Springs,Crafts,163.28,MasterCard
2001-10-12,13:14,Indianapolis,Baby,142.02,Amex
2013-09-12,14:27,Washington,Music,68.44,Cash
2017-02-28,07:29,Bakersfield,Cameras,91.01,MasterCard
2009-03-05,07:53,Albuquerque,Music,305.0,MasterCard
2017-05-01,18:43,Houston,Computers,263.44,Cash
2012-07-04,01:07,Durham,Cameras,13.49,Cash
2012-05-05,14:04,Richmond,DVDs,203.84,MasterCard
2014-08-16,23:21,Greensboro,Men's Clothing,7.06,Visa
2013-05-18,10:03,Fremont,Women's Clothing,120.64,MasterCard
2010-11-28,20:03,Greensboro,Garden,484.16,Discover
2010-05-23,17:28,Boston,Books,477.91,Amex
2016-10-25,09:35,San Antonio,Pet Supplies,260.12,Discover
2013-09-02,21:39,Philadelphia,Health and Beauty,275.79,Discover
2007-07-06,06:18,Chicago,Toys,465.46,Visa
2001-04-23,10:03,Nashville,Cameras,452.04,Discover
2003-05-21,03:48,Lubbock,Health and Beauty,220.18,MasterCard
2013-06-13,19:54,Irving,Cameras,199.42,Visa
2017-09-23,04:09,Chesapeake,Consumer Electronics,3.85,Amex
2008-01-24,10:52,Scottsdale,Men's Clothing,492.96,Visa
2010-05-27,04:23,Buffalo,Health and Beauty,344.08,Visa
2003-10-27,01:56,Anaheim,Women's Clothing,21.53,MasterCard
2006-07-04,05:56,Tulsa,Men's Clothing,127.16,Visa
2018-12-04,03:29,Albuquerque,Cameras,326.11,Amex
2000-04-12,10:16,Fort Wayne,Cameras,283.99,Amex
2014-07-26,09:20,Lincoln,Women's Clothing,314.08,MasterCard
2010-09-24,19:35,St. Petersburg,DVDs,183.24,Cash
2016-01-11,16:52,Indianapolis,Women's Clothing,105.47,Amex
2009-09-17,16:00,Louisville,Pet Supplies,317.72,MasterCard
2007-10-04,15:04,Reno,Music,19.99,MasterCard
2007-07-12,12:10,Anchorage,Consumer Electronics,118.46,Cash
2014-02-28,13:44,Irvine,Books,105.3,Discover
2004-03-22,11:27,Irving,CDs,87.49,Discover
2020-10-05,15:29,Scottsdale,Children's Clothing,295.9,Cash
2014-02-24,23:53,Irvine,Crafts,152.12,Amex
2008-06-28,17:09,Plano,Toys,21.01,Discover
2005-02-21,00:08,Spokane,Sporting Goods,335.68,Visa
2011-02-24,04:42,Wichita,Women's Clothing,84.55,MasterCard
2019-06-20,03:41,Chula Vista,Sporting Goods,389.23,Visa
2008-06-02,22:15,Birmingham,Health and Beauty,368.69,Discover
2006-11-07,05:19,Gilbert,Health and Beauty,465.6,Cash
2003-03-17,12:12,Sacramento,Sporting Goods,141.59,Discover
2017-10-07,03:02,Boston,CDs,360.81,Cash
2016-04-12,16:54,Fresno,Health and Beauty,326.29,MasterCard
2000-11-26,02:36,Kansas City,DVDs,41.77,MasterCard
2000-09-23,07:38,Columbus,Baby,494.66,Discover
2016-03-23,13:23,San Jose,Garden,192.82,Cash
2017-03-18,01:23,Atlanta,Books,109.02,Cash
2012-08-25,16:44,Stockton,Health and Beauty,310.11,MasterCard
2019-08-25,04:43,Saint Paul,Garden,85.57,MasterCard
2020-08-22,04:44,Laredo,Toys,303.26,Cash
2018-10-13,22:51,Sacramento,Cameras,42.43,Cash
2005-06-07,00:07,Austin,Video Games,112.66,Amex
2006-07-08,17:44,Chesapeake,Crafts,371.14,Cash
2015-01-25,20:28,Albuquerque,Computers,233.1,Cash
2020-12-18,08:29,San Francisco,Consumer Electronics,154.01,MasterCard
2020-07-17,16:18,Mesa,Baby,249.36,Amex
2000-05-15,10:27,Henderson,Sporting Goods,124.52,Amex
2003-08-18,02:53,Seattle,DVDs,52.72,MasterCard
2013-09-18,02:45,New York,DVDs,117.98,Visa
2018-06-07,20:50,New Orleans,Toys,32.96,Amex
2013-02-16,03:18,Hialeah,Music,485.06,Discover
2015-10-25,00:35,Cleveland,Sporting Goods,289.73,Amex
2011-10-05,09:26,Baton Rouge,Music,322.0,Discover
2000-10-02,01:34,Reno,Children's Clothing,165.85,Visa
2019-06-20,10:17,Bakersfield,Consumer Electronics,498.93,Discover
2004-10-01,17:15,Lubbock,Music,222.47,Amex
2014-01-10,23:44,Arlington,CDs,166.33,Discover
2019-03-10,09:10,Milwaukee,Baby,28.36,Discover
2020-01-18,15:59,Indianapolis,Health and Beauty,1.29,Amex
2002-10-12,19:19,Corpus Christi,Video Games,82.54,MasterCard
2001-02-12,12:29,Omaha,Cameras,436.01,Discover
2017-04-20,04:20,Los Angeles,Pet Supplies,389.7,Visa
2011-01-17,14:13,Chesapeake,Video Games,349.23,Cash
2019-11-04,16:46,Glendale,Sporting Goods,279.86,MasterCard
2005-10-09,05:05,Richmond,Crafts,203.2,MasterCard
2011-04-19,12:45,Cincinnati,Sporting Goods,90.8,Discover
2000-01-15,18:19,Sacramento,Consumer Electronics,446.96,Discover
2003-04-24,22:30,Mesa,Women's Clothing,284.34,Discover
2007-06-01,09:05,San Jose,Cameras,95.81,Cash
2006-08-12,13:21,San Jose,Pet Supplies,253.33,Discover
2004-01-21,13:42,Fort Worth,Men's Clothing,358.08,MasterCard
2002-10-11,17:19,Garland,Health and Beauty,82.08,MasterCard
2007-01-17,05:35,Anaheim,Books,357.37,Discover
2005-09-09,08:28,Birmingham,Women's Clothing,192.95,Cash
2005-08-05,21:42,Albuquerque,Computers,290.43,MasterCard
2013-04-22,04:30,Raleigh,Consumer Electronics,314.21,Discover
2001-05-14,02:25,Miami,Men's Clothing,498.32,Amex
2019-04-21,10:15,San Bernardino,Baby,145.21,Visa
2014-07-04,03:02,Newark,Women's Clothing,243.21,Cash
2001-08-11,02:35,Gilbert,Music,388.29,Discover
2016-09-15,21:52,Richmond,Children's Clothing,131.91,Cash
2004-07-19,06:06,Las Vegas,Garden,478.53,Cash
2011-03-15,18:19,San Francisco,Women's Clothing,133.31,Cash
2003-05-23,11:06,Portland,Consumer Electronics,95.0,MasterCard
2019-05-05,06:04,San Francisco,Consumer Electronics,206.92,Amex
2020-05-16,20:02,San Jose,Computers,160.6,Amex
2001-01-03,17:08,Colorado Springs,Pet Supplies,76.61,Cash
2019-04-21,11:06,Jersey City,Health and Beauty,481.23,Amex
2016-03-13,03:06,Lincoln,Sporting Goods,437.51,Discover
2014-05-04,13:58,Austin,Consumer Electronics,325.1,Discover
2003-06-13,15:02,Norfolk,Cameras,305.99,Discover
2013-05-22,03:39,Raleigh,Sporting Goods,488.65,Visa
2015-02-26,22:13,Arlington,Garden,300.93,Amex
2009-01-07,22:15,San Jose,Cameras,285.57,MasterCard
2005-12-02,00:16,Indianapolis,Crafts,35.81,Visa
2006-08-13,06:10,Honolulu,Computers,307.18,Visa
2015-09-10,12:35,Anchorage,Sporting Goods,44.25,Discover
2008-01-11,22:27,Stockton,Women's Clothing,465.15,Visa
2012-03-16,03:32,Tampa,Pet Supplies,316.25,Cash
2007-06-16,05:13,Baton Rouge,Computers,207.96,Amex
2016-09-01,12:24,Minneapolis,Men's Clothing,486.46,MasterCard
2014-10-21,05:29,Spokane,Books,295.4,Cash
2005-04-26,23:18,Sacramento,Pet Supplies,218.58,Discover
2008-07-28,15:57,Lincoln,Women's Clothing,406.49,Amex
2010-04-13,17:57,Saint Paul,CDs,276.81,Visa
2015-12-08,04:18,Toledo,Health and Beauty,71.75,Cash
2017-06-12,19:23,Aurora,Crafts,368.16,MasterCard
2000-10-17,12:37,Detroit,CDs,407.49,Discover
2009-06-22,13:48,Minneapolis,Toys,49.94,Cash
2004-08-20,01:36,Laredo,Video Games,323.35,Discover
2006-01-23,15:50,Plano,Cameras,80.72,Visa
